book_title,story_title,latitude,longitude,location,city,state,country,continent,century,decade,initial_date,final_date,unbuilt,architect,pg_gh,pg_img_gh,count_img_gh,fp_gh,pg_fp_gh,count_gh,pg_ha,pg_img_ha,count_img_ha,fp_ha,pg_fp_ha,count_ha,pg_mm,pg_img_mm,count_img_mm,fp_mm,pg_fp_mm,count_mm,pg_wh,pg_img_wh,count_img_wh,fp_wh,pg_fp_wh,count_wh
A History of Architecture: Settings and Rituals,Golden North Hotel,59.4543905,-135.3179448,"Skagway, Alaska",Skagway,Alaska,United States,North America,19,1890,1898,,,,,,,,,,628,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,House of William M. Carson,40.7906871,-124.1673746,"Eureka, California",Eureka,California,United States,North America,19,1880,1884,1885,,Samuel Newsome; Joseph Newsome,,,,,,,650,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Sea Ranch Condominium 1,38.7097547,-123.44899,"Sea Ranch, California",Sea Ranch,California,United States,North America,20,1960,1965,1972,,"Moore, Lyndon, Turnbull & Whitaker",,,,,,,730,,1,N,,1,,,,,,,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture",Portland Public Sevices Building,45.5202471,-122.6741949,"Portland, Oregon",Portland,Oregon,United States,North America,20,1980,1983,1984,,Michael Graves,,,,,,,752,,1,N,,1,,,,,,,547,547,1,N,,2
A Global History of Architecture,Marin County Civic Center,37.99800515,-122.5306406,"San Rafael, California, USA",San Rafael,California,United States,North America,20,1950,1959,1964,,Frank Lloyd Wright,697,,,,,1,,,,,,,"133,138-139",138-139,2,N,,2,,,,,,
A History of Architecture: Settings and Rituals,United States Mint,37.77004835,-122.4275135,"San Francisco, California",San Francisco,California,United States,North America,20,1930,1937,,,Gilbert Stanley Underwood,,,,,,,716,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Sea Cliff,37.7790262,-122.419906,"San Francisco, California",San Francisco,California,United States,North America,20,1920,1925,,,Allen and Co.,,,,,,,709,709,2,N,,2,,,,,,,,,,,,
A Global History of Architecture,University of Washington’s Gould Hall,47.6553627,-122.3128597,"Seattle, Washington, USA",Seattle,Washington,United States,North America,20,1970,1972,,,,725,,,,,1,,,,,,,,,,,,,,,,,,
Modern Movements in Architecture,Faculty Club of the University of California,37.87192768,-122.2556285,"California, USA",,California,United States,North America,20,1960,1966,1969,,"Charles Moore, William Turnbull",,,,,,,,,,,,,223,223,1,N,,1,,,,,,
A Global History of Architecture,University of California–Berkeley’s Wurster Hall,37.87092997,-122.2548935,"Berkeley, California, USA",Berkeley,California,United States,North America,20,1960,1964,,,,725,,,,,1,,,,,,,,,,,,,,,,,,
A Global History of Architecture,Hanna House,37.415946,-122.163689,"Stanford, California, USA",Stanford,California,United States,North America,20,1930,1937,,,Frank Lloyd Wright,732,732,1,N,,1,,,,,,,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Fulton Mall,36.73552975,-119.7915206,"Fresno, California",Fresno,California,United States,North America,20,1960,1963,,,Victor Gruen Associates,,,,,,,751,,1,N,,1,,,,,,,,,,,,
Modern Movements in Architecture,Eames House,34.0301398,-118.5191583,"Los Angeles, California, USA",Los Angeles,California,United States,North America,20,1940,1949,,,"Charles Eames, Ray Eames",,,,,,,,,,,,,214-215,214-215,1,N,,2,,,,,,
A World History of Architecture,Getty Museum,34.0770168,-118.4740101,"Los Angeles, California",Los Angeles,California,United States,North America,20,,1984,1997,N,Richard Meier,,,,,,,,,,,,,,,,,,,551,,,N,,1
Modern Movements in Architecture,Case Study House,34.10054642,-118.3702903,"Hollywood, California, USA",Hollywood,California,United States,North America,20,1950,1959,,,Pierre Koenig,,,,,,,,,,,,,216,216,1,N,,1,,,,,,
A History of Architecture: Settings and Rituals,Grauman's Chinese Theater,34.0980031,-118.329523,"Hollywood, California",Hollywood,California,United States,North America,20,1920,1927,,,Meyer and Holler,,,,,,,708,,1,N,,1,,,,,,,,,,,,
A World History of Architecture,Pantages Theater,34.1022047,-118.3257673,"Los Angeles, California",Los Angeles,California,United States,North America,20,,1929,,N,B. Marcus Priteca,,,,,,,,,,,,,,,,,,,499-500,500,1,N,,2
A World History of Architecture,The Wiltern,34.0614963,-118.308908,"Los Angeles, California",Los Angeles,California,United States,North America,20,,1931,,N,,,,,,,,,,,,,,,,,,,,499,,,N,,1
"A Global History of Architecture, Modern Movements in Architecture",Hollyhock House,34.1000265,-118.2943357,"Los Angeles, California, USA",Los Angeles,California,United States,North America,20,1910,1916,1920,,Frank Lloyd Wright,713,713,3,Y,713,3,,,,,,,128,128,1,N,,1,,,,,,
A World History of Architecture,Millard House,34.1554361,-118.1617219,"Pasadena, California",Pasadena,California,United States,North America,20,,1923,,N,Frank Lloyd Wright,,,,,,,,,,,,,,,,,,,523,,,N,,1
A Global History of Architecture,Gamble House,34.15196055,-118.1607314,"Pasadena, California, USA",Pasadena,California,United States,North America,20,1900,1908,1909,,Charles Sumner Greene,673,673,3,Y,673,3,,,,,,,,,,,,,,,,,,
A Global History of Architecture,Lovell Health House,34.1237322,-118.0512528,"Los Angeles, California, USA",Los Angeles,California,United States,North America,20,1920,1927,1929,,Richard Neutra,"724,727",724,3,Y,724,3,,,,,,,,,,,,,,,,,,
A World History of Architecture,Team Disneyland Administration Building,33.81696204,-117.9180507,"Anaheim, California",Anaheim,California,United States,North America,20,,1996,,N,Frank Gehry,,,,,,,,,,,,,,,,,,,560-561,561,1,N,,2
A Global History of Architecture,Lovell Beach House,33.60616422,-117.9175707,"Newport Beach, California, USA",Newport Beach,California,United States,North America,20,1920,1922,1926,,Rudolf Michael Schindler,724,724,1,N,,1,,,,,,,,,,,,,,,,,,
A Global History of Architecture,Freeman House,34.1263446,-117.7125549,"Los Angeles, California, USA",Los Angeles,California,United States,North America,20,1920,1924,1925,,Frank Lloyd Wright,744,,,,,1,,,,,,,,,,,,,,,,,,
Modern Movements in Architecture,Salk Institute Laboratories,32.88848019,-117.2455144,"La Jolla, California, USA",La Jolla,California,United States,North America,20,1960,1965,,,Louis Kahn,,,,,,,,,,,,,232,232,1,N,,1,,,,,,
Modern Movements in Architecture,Football Hall of Fame,36.1489998,-115.295604,"Las Vegas, Nevada, USA",Las Vegas,Nevada,United States,North America,20,1960,1968,,X,Robert Venturi,,,,,,,,,,,,,221,221,1,N,,1,,,,,,
A Global History of Architecture,Hopi House,36.05782765,-112.1367788,,,,,,,,,,,,461,,1,N,,1,,,,,,,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Linear City,33.4581563,-112.0703187,,,,,,19,1880,1882,,Y,Arturo Soria y Mata,,,,,,,677,,1,Y,,1,,,,,,,,,,,,
Modern Movements in Architecture,Drop City,33.752566,-111.9633476,"Arizona, USA",,Arizona,United States,North America,20,1960,1966,,,,,,,,,,,,,,,,90,90,1,N,,1,,,,,,
Modern Movements in Architecture,Grady Gammage Memorial Auditorium,33.41653983,-111.9379196,"Temple, Arizona, USA",Temple,Arizona,United States,North America,20,1950,1959,1966,,Frank Lloyd Wright,,,,,,,,,,,,,111124,111,2,N,,2,,,,,,
Modern Movements in Architecture,Desert House,33.8319269,-111.9312836,"Cave Creek, Arizona, USA",Cave Creek,Arizona,United States,North America,20,1950,1951,,,Paolo Soleri and Mills,,,,,,,,,,,,,195,195,1,N,,1,,,,,,
"A Global History of Architecture, Modern Movements in Architecture, A World History of Architecture",Taliesin West,33.6065531,-111.8448458,"Scottsdale, Arizona, USA",Scottsdale,Arizona,United States,North America,20,1930,1938,,,Frank Lloyd Wright,697,,,,,1,,,,,,,131,,,,,1,528,,,N,,1
"A Global History of Architecture, Modern Movements in Architecture, A World History of Architecture",Broadacre City,33.3061605,-111.84125,"Chandler, Arizona, USA",Chandler,Arizona,United States,North America,20,1930,1932,,Y,Frank Lloyd Wright,732,,,,,1,,,,,,,339,339,1,N,,1,523,,,N,,1
A Global History of Architecture,Pueblo Architecture,34.395342,-111.763275,"Arizona, USA",,Arizona,United States,North America,,,,,,,461,,1,N,,1,,,,,,,,,,,,,,,,,,
Modern Movements in Architecture,Solar Telescope,31.96562314,-111.5995475,"Kitts Peak, Arizona, USA",Kitts Peak,Arizona,United States,North America,20,1960,1965,,,SOM,,,,,,,,,,,,,217,217,1,N,,1,,,,,,
A World History of Architecture,Pueblo Bonito,36.06064365,-107.9617129,"Chaco Canyon, New Mexico",Chaco Canyon,New Mexico,United States,North America,9,,900,1120,N,,,,,,,,,,,,,,,,,,,,281-282,282,1,N,,2
A History of Architecture: Settings and Rituals,San José Church,35.0367284,-107.3828226,"Laguna Pueblo, New Mexico",Laguna Pueblo,,New Mexico,North America,17,1690,1699,,,,,,,,,,448,448,2,N,,2,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Mission Church of San Agustin de la Isleta,34.9078296,-106.693018,"Isleta, New Mexico",Isleta,,New Mexico,North America,17,1610,1613,,,,,,,,,,432,,1,N,,1,,,,,,,,,,,,
Modern Movements in Architecture,Air Force Academy,38.9912381,-104.8588346,"Colorado Springs, Colorado, USA",Colorado Springs,Colorado,United States,North America,20,1950,1957,1962,,SOM,,,,,,,,,,,,,202,202,1,N,,1,,,,,,
A History of Architecture: Settings and Rituals,Querétaro Acqueduct,20.5927744,-100.3902245,"Querétaro, Mexico",Querétaro,,Mexico,,16,,,,,,,,,,,,447,,1,N,,1,,,,,,,,,,,,
Modern Movements in Architecture,Church of the Miraculous Virgin,19.38016482,-99.1572649,"Mexico City, Mexico",Mexico City,,Mexico,North America,20,1950,1954,,,Felix Candela,,,,,,,,,,,,,63,63,1,N,,1,,,,,,
A History of Architecture: Settings and Rituals,Zocalo,19.4322987,-99.1323909,"Mexico City, Mexico",Mexico City,,Mexico,,16,,,,,,,,,,,,447,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Atlatláuhcan Church,18.93559562,-98.89787772,"Atlatláuhcan, Mexico",Atlatláuhcan,,Mexico,,16,1570,1570,,,,,,,,,,449,,1,N,,1,,,,,,,,,,,,
A World History of Architecture,Palace of Atelzelco,19.68932944,-98.85727358,"Teotihuacán, Mexico",Teotihuacán,,Mexico,North America,4,,300,,N,,,,,,,,,,,,,,,,,,,,285,285,1,Y,,1
A World History of Architecture,Pyramid of the Sun,19.69247493,-98.84386828,"Teotihuacán, Mexico",Teotihuacán,,Mexico,North America,-2,,-100,,N,,,,,,,,,,,,,,,,,,,,283-286,284,1,N,,2
A History of Architecture: Settings and Rituals,Capilla de Indios (Capilla Real),20.743333,-98.502222,"Cholula, Mexico",Cholula,,Mexico,,16,1560,1560,,,,,,,,,,449,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,S. Gabriel Franciscan Monastery,20.743333,-98.502222,"Cholula, Mexico",Cholula,,Mexico,,16,1540,1549,1552,,,,,,,,,447,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Cholula,19.06273265,-98.30392261,"Cholula, Mexico",Cholula,,Mexico,,,,,,,,,,,,,,446,,1,Y,,1,,,,,,,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture",Kimball Art Museum,32.74854885,-97.36508004,"Fort Worth, Texas",Fort Worth,Texas,United States,North America,20,1960,1966,1972,N,Louis Kahn,,,,,,,740,,1,N,,1,,,,,,,540-541,540,3,Y,540,4
Modern Movements in Architecture,Bavinger House,35.22922231,-97.35373154,"Norman, Oklahoma, USA",Norman,Oklahoma,United States,North America,20,1950,1957,,,Bruce Goff,,,,,,,,,,,,,193,193,1,N,,1,,,,,,
Modern Movements in Architecture,Wichita House,37.6922361,-97.3375448,"Kansas, USA",,Kansas,United States,North America,20,1940,1946,,,Buckminster Fuller,,,,,,,,,,,,,213,213,1,N,,1,,,,,,
Modern Movements in Architecture,Prairie House,35.2163013,-97.1978357,"Norman, Oklahoma, USA",Norman,Oklahoma,United States,North America,20,1960,1961,,,Herbert Greene,,,,,,,,,,,,,194,194,1,N,,1,,,,,,
A Global History of Architecture,Templo Mayor,19.8251044,-96.94195002,"Tenochtitlán, Mexico",Tenochtitlán,,Mexico,,,,,,,,463-464,463-464,1,Y,464,3,,,,,,,,,,,,,,,,,,
"A History of Architecture: Settings and Rituals, A World History of Architecture",Tenochtitlán,19.808611,-96.916389,"Tenochtitlán, Mexico",Tenochtitlán,,Mexico,,10,,900,,N,,,,,,,,437,,1,N,,1,,,,,,,292,292,1,Y,292,2
